FramesTotal	39612
NumCuts	13
CutEnds	Energy01	Energy02	Energy03
4682	.1	.4	.9
8314	.8	1	.5
10548	.3	.9	.5
12392	.1	.6	.5
14993	.4	.3	.5
16086	.5	.8	.5
18986	.7	.8	.5
20178	.6	.8	.5
22496	.8	.7	.5
29260	.5	.6	.5
35710	.8	.7	.5
38252	.3	.5	.5
39612	.3	.5	.5
