FramesTotal	3199
NumCuts	6
CutEnds	Energy01	Energy02	Energy03
226	.3	.1	.1
868	.6	.4	.1
1148	.1	.2	.1
1944	.3	.2	.1
2512	.1	.2	.1
3159	.3	.1	.1









